User Query,Intent
Tell me about the history of the university.,General Information
What programs does the university offer?,Courses Information
How can I apply for admission? ,Admissions  
What are the application deadlines?,Admissions  
Can I change my major after admission?,Admissions  
Where can I find the class timetable?,Timetable 
When is the next exam scheduled? ,Timetable 
How much is the tuition fee for ICT? ,Fees 
How can I provide feedback about my experience?,Feedback
How can I contact the admissions office? ,Contact Information
